id;description;deadline;creation;cost
1;alentour broum que;2023-12-18;2023-12-17;5594.19
2;insolite naguère;2023-12-18;2023-12-18;24638.05
3;commis de cuisine si bien que;2023-12-18;2023-12-18;25734.49
4;délégation réchauffer jurer;2023-12-18;2023-12-17;10335.21
5;partenaire;2023-12-17;2023-12-18;8999.81
6;quoique;2023-12-17;2023-12-18;22780.01
7;hiX;2023-12-18;2023-12-17;25616.7
8;triste snob aigre;2023-12-18;2023-12-18;5762.32
9;parce que;2023-12-17;2023-12-17;10846.42
10;hors de collaborer croiser;2023-12-18;2023-12-18;12632.65
