id;description;pseudo;name
1;hier;guide promener tant que;traîner au point que sale
2;ouille placide d'entre;bang à condition que horrible;en plus de
3;au prix de avant que;rose;alors que
4;guère malade;svelte;ouin au-dehors
5;aux alentours de à partir de;aborder exprès;toc sans doute tant que
6;voler commis de cuisine;terriblement envelopper;acquérir contre
7;lors extatique délégation;souple fidèle avant que;insuffisamment peu
8;spécialiste miam;tourner commis;toc
9;parlementaire;influencer;sous couleur de ah de sorte que
10;miaou ouille;grrr hirsute;cuicui
