id;description;deadline;creation;cost
1;vorace brusque;2023-12-18;2023-12-17;10926.05
2;tant commis de cuisine indiquer;2023-12-18;2023-12-18;1189.49
3;hypocrite nonobstant;2023-12-18;2023-12-17;3986.69
4;tant;2023-12-18;2023-12-18;22383.05
5;résigner;2023-12-18;2023-12-18;17507.68
6;meuh viser avant-hier;2023-12-17;2023-12-18;19418.2
7;presque puisque ensemble;2023-12-18;2023-12-18;13747.92
8;sortir à l'entour de;2023-12-18;2023-12-18;7550.12
9;tomber;2023-12-17;2023-12-17;29518.68
10;sourire tromper;2023-12-18;2023-12-18;13000.99
